id,timestamp,type,comments,createdAt,updatedAt
38,2017-10-23 21:40:35.83+00,national-dnc-scrub,"Before Count: 3533215, After Count: 1902171, Leads-removed: 1631044",2017-10-23 21:40:35.833+00,2017-10-23 21:40:35.833+00
39,2017-10-23 21:41:07.25+00,compmnany-dnc-scrub,"Before Count: 1902171, After Count: 1902171, Leads-removed: 0",2017-10-23 21:41:07.25+00,2017-10-23 21:41:07.25+00
40,2017-10-23 21:41:14.143+00,leads-import," Orignal Lead Count: 3533415, N-DNC Removed: 1631044, C-DNC Removed: 0 Invalid Removed: 212, Final Lead Count: 1902159",2017-10-23 21:41:14.143+00,2017-10-23 21:41:14.143+00
41,2017-10-23 22:06:58.652+00,national-dnc-import," Count: 0, Path: C:\Users\timhardy\Desktop\2017-6-1_Global_482EE987-47A6-48FB-ABF9-3E210E2A6E5F.txt",2017-10-23 22:06:58.653+00,2017-10-23 22:06:58.653+00
42,2017-10-23 22:18:40.538+00,national-dnc-import," Count: 228506765, Path: C:\Users\timhardy\Desktop\2017-6-1_Global_482EE987-47A6-48FB-ABF9-3E210E2A6E5F.txt",2017-10-23 22:18:40.539+00,2017-10-23 22:18:40.539+00
43,2017-10-23 22:33:37.968+00,national-dnc-import," Count: 228506765, Path: C:\Users\timhardy\Desktop\2017-6-1_Global_482EE987-47A6-48FB-ABF9-3E210E2A6E5F.txt",2017-10-23 22:33:37.969+00,2017-10-23 22:33:37.969+00
44,2017-10-23 22:49:59.304+00,national-dnc-import," Count: 228506765, Path: C:\Users\timhardy\Desktop\2017-6-1_Global_482EE987-47A6-48FB-ABF9-3E210E2A6E5F.txt",2017-10-23 22:49:59.305+00,2017-10-23 22:49:59.305+00
45,2017-10-23 22:57:37.671+00,compmnany-dnc-scrub,"Before Count: undefined, After Count: 1896138, Leads-removed: NaN",2017-10-23 22:57:37.673+00,2017-10-23 22:57:37.673+00
46,2017-10-23 22:59:39.295+00,compmnany-dnc-scrub,"Before Count: undefined, After Count: 1896138, Leads-removed: NaN",2017-10-23 22:59:39.297+00,2017-10-23 22:59:39.297+00
47,2017-10-23 23:05:30.814+00,compmnany-dnc-scrub,"Before Count: 24728054, After Count: 1896138, Leads-removed: 22831916",2017-10-23 23:05:30.816+00,2017-10-23 23:05:30.816+00
48,2017-10-23 23:13:51.886+00,compmnany-dnc-scrub,"Before Count: 24728054, After Count: 1896125, Leads-removed: 22831929",2017-10-23 23:13:51.888+00,2017-10-23 23:13:51.888+00
49,2017-10-23 23:17:51.056+00,compmnany-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-23 23:17:51.057+00,2017-10-23 23:17:51.057+00
50,2017-10-23 23:22:49.122+00,national-dnc-scrub,"Before Count: 3533215, After Count: 1902171, Leads-removed: 1631044",2017-10-23 23:22:49.124+00,2017-10-23 23:22:49.124+00
51,2017-10-23 23:30:47.926+00,national-dnc-scrub,"Before Count: 3533215, After Count: 1902171, Leads-removed: 1631044",2017-10-23 23:30:47.928+00,2017-10-23 23:30:47.928+00
